Rank,Team,Points,Wins,Draws,Losses,Projected Finish,Projected Points,Projected Wins,Projected Draws,Projected Losses,Offensive Rating,Defensive Rating,Total Rating,form,Spoon,Top 8,Top 4,Minor Premiers,Week 2,Week 3,Make GF,Premiers,SoS
1,Storm,8,4,0,1,1,38,19,0,5,10.73140055348551,5.717077226797104,16.448477780282616,0.6098429743816348,2e-05,0.981082,0.899339,0.549603,0.943244,0.832266,0.554034,0.35118,-0.39456465394825824
2,Bulldogs,10,5,0,0,2,34,17,0,7,-1.479278863250885,8.580907909022748,7.101629045771865,1.0328871070050947,0.000236,0.919272,0.724439,0.236722,0.81383,0.616447,0.307993,0.145278,-0.17885961086032898
3,Cowboys,6,3,0,3,4,28,14,0,10,3.584251120285563,0.9441485353298938,4.528399655615457,1.6939470093466884,0.005918,0.696872,0.341423,0.038711,0.53312,0.35541,0.176718,0.084309,-0.17020898554190367
4,Sharks,6,3,0,3,5,26,13,0,11,1.1137197742441305,3.0937660233185134,4.2074857975626445,-0.9950255651994944,0.007203,0.648548,0.295384,0.031414,0.483602,0.31337,0.15231,0.072109,0.16061595831479503
5,Roosters,4,2,0,4,11,22,11,0,13,1.903087041202976,0.24223416126329922,2.145321202466276,-0.6265642912108058,0.03443,0.386704,0.118917,0.008305,0.271571,0.165045,0.080332,0.039544,1.785064940841399
6,Raiders,8,4,0,2,3,30,15,0,9,1.1787671567346334,0.8570626326375547,2.0358297893721913,0.9955046719659588,0.004042,0.753365,0.424235,0.054123,0.573086,0.369007,0.159092,0.066149,-1.835392925287306
7,Manly,6,3,0,3,6,26,13,0,11,2.248968532247879,-0.32409867834729256,1.9248698539005902,-1.617082308747831,0.012866,0.579109,0.241106,0.019219,0.414094,0.256282,0.116975,0.052229,-0.5421634182252189
8,Panthers,2,1,0,5,9,22,11,0,13,1.2993480267645567,0.2511347315757344,1.5504827583402911,-2.287904140054468,0.050031,0.368909,0.099477,0.003768,0.251482,0.147726,0.069229,0.03278,-0.8771217126723263
9,Warriors,6,3,0,2,7,26,13,0,11,-1.2547153371453532,-0.00670261467812816,-1.261417951823482,-0.2583123337744723,0.023299,0.520432,0.218483,0.016873,0.353582,0.204099,0.081771,0.032036,-2.013508090990379
10,Broncos,8,4,0,2,8,24,12,0,12,-0.37943520080947146,-1.6894218646559436,-2.068857065465412,0.3240378222979328,0.015137,0.502957,0.188309,0.019544,0.330105,0.187611,0.077593,0.031989,0.7740391107433087
11,Dragons,4,2,0,3,10,22,11,0,13,0.33859857083040623,-2.69387139932355,-2.3552728284931437,1.6642841567842173,0.052626,0.353433,0.121499,0.005977,0.238314,0.138171,0.059166,0.025177,0.1686359223472382
12,Dolphins,4,2,0,4,13,20,10,0,14,-4.331299172735754,1.6299957130255622,-2.7013034597101897,1.5309454834934713,0.062928,0.278232,0.071796,0.002443,0.179863,0.099095,0.042307,0.018346,0.7820973468144783
13,Rabbitohs,8,4,0,2,12,22,11,0,13,-5.4767211374397595,1.9994301222098514,-3.4772910152299077,0.7874885213627686,0.029518,0.351183,0.100767,0.007389,0.217396,0.114544,0.045289,0.018173,1.1350078400113088
14,Tigers,6,3,0,3,14,20,10,0,14,0.5959351401531137,-6.074733985813355,-5.478798845660237,0.2835439456578042,0.067555,0.244859,0.063977,0.002687,0.148567,0.076793,0.029643,0.011702,0.9776101779149992
15,Knights,4,2,0,3,15,20,10,0,14,-10.423337056719728,4.8696964974053865,-5.553640559314339,-2.2988844717080417,0.095628,0.231795,0.057735,0.002208,0.140982,0.071713,0.027552,0.010898,0.08749870420778597
16,Titans,4,2,0,3,16,16,8,0,16,-1.110836765257001,-7.1343620196517445,-8.245198784908746,-0.8569504230720502,0.190085,0.127706,0.026389,0.000907,0.074765,0.036892,0.013903,0.005465,0.3268582101565349
17,Eels,2,1,0,5,17,14,7,0,17,-4.926879519625869,-3.873835853080581,-8.800715372706444,-0.600302886249645,0.348478,0.055542,0.006725,0.000107,0.032397,0.015529,0.006093,0.002636,0.2665309762073569
